Provincia,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,Precio biodiésel,Rótulo,Dia semana
ALBACETE,2024-12-25,"1,459",,,,,"1,429",,"0,959",,,,Nº 10.935,Miércoles
ALBACETE,2024-12-23,"1,699",,,,,"1,589","1,709",,,,,REPSOL,Lunes
ALBACETE,2024-12-26,"1,579",,,"1,669",,"1,489","1,529",,,,,CARREFOUR,Jueves
ALBACETE,2024-12-27,"1,629",,,"1,771",,"1,509","1,599",,,,,BP ROMICA,Viernes
ALBACETE,2024-12-26,"1,417",,,,,"1,317",,,,,,PLENOIL,Jueves
ALBACETE,2024-12-20,,,,,,"1,529",,,,,,CEPSA,Viernes
ALBACETE,2024-12-27,"1,624",,,"1,756",,"1,566","1,634",,,,,CEPSA,Viernes
ALBACETE,2024-12-27,"1,629",,,"1,749",,"1,519","1,609",,,,,REPSOL,Viernes
ALBACETE,2024-12-26,"1,416",,,,,"1,316","1,399",,,,,A&A,Jueves
ALBACETE,2024-12-23,"1,599",,,"1,709",,"1,519","1,579",,,,,TAMOS,Lunes
ALBACETE,2024-12-26,"1,417",,,,,"1,317",,,,,,PLENOIL,Jueves
ALBACETE,2024-12-22,"1,639",,,"1,729",,"1,539","1,609",,,,,CEPSA,Domingo
ALBACETE,2024-12-23,"1,599",,"1,639","1,709",,"1,519","1,599",,,,,REPSOL,Lunes
ALBACETE,2024-12-19,"1,609",,,"1,706",,"1,539","1,601",,,,,CEPSA,Jueves
ALBACETE,2024-12-23,"1,389",,,"1,559",,"1,299","1,399",,,,,FAMILY ENERGY,Lunes
ALBACETE,2024-12-23,"1,569",,,"1,709",,"1,509","1,579",,,,,REPSOL,Lunes
ALBACETE,2024-12-23,"1,619",,,"1,749",,"1,519","1,589",,,,,REPSOL,Lunes
ALBACETE,2024-12-27,"1,499",,,,,"1,429","1,479",,,,,INPEALSA,Viernes
ALBACETE,2024-12-27,"1,629",,,"1,749",,"1,529","1,609",,,,,REPSOL,Viernes
ALBACETE,2024-12-27,"1,619",,,"1,739",,"1,509","1,609",,,,,REPSOL,Viernes
ALBACETE,2024-12-27,"1,639",,,"1,759",,"1,519","1,609",,,,,REPSOL,Viernes
ALBACETE,2024-12-27,"1,499",,,,,"1,429",,,,,,INPEALSA,Viernes
ALBACETE,2024-12-21,,,,,,"1,409",,,,,,P347,Sábado
ALBACETE,2024-12-23,"1,489",,,,,"1,419",,,,,,PETROCAMP,Lunes
ALBACETE,2024-12-27,"1,499",,,,,"1,419",,,,,,INPEALSA,Viernes
ALBACETE,2024-12-25,"1,629",,,"1,689",,"1,559","1,629",,,,,CEPSA,Miércoles
ALBACETE,2024-12-27,"1,599",,,"1,719",,"1,489","1,569","1,179",,,,REPSOL,Viernes
ALBACETE,2024-12-23,,,,,,,,"1,030",,,,CORYMAR,Lunes
ALBACETE,2024-12-27,"1,499",,,,,"1,419","1,469",,,,,INPEALSA,Viernes
ALBACETE,2024-12-23,"1,639",,,"1,729",,"1,539","1,609","1,639",,,,"INLOCOR S.L. ""CEPSA""",Lunes
ALBACETE,2024-12-16,"1,488",,,"1,579",,"1,388","1,478",,,,,ALCAMPO,Lunes
ALBACETE,2024-12-18,"1,499",,,"1,659",,"1,429","1,529",,,,,ENERCOM CARBURANTES,Miércoles
ALBACETE,2024-12-27,"1,639",,"1,699","1,759",,"1,509","1,609",,,,,"REPSOL. LOS ANGELES DE LA MANCHA, S.L.",Viernes
ALBACETE,2024-12-27,"1,639",,,"1,759",,"1,509","1,609",,,,,REPSOL Nº ESTACIÓN 97179,Viernes
ALBACETE,2024-12-27,"1,649",,,"1,769",,"1,519","1,579",,,,,REPSOL,Viernes
ALBACETE,2024-12-26,"1,459",,,,,"1,369",,,,,,FAST & GAS,Jueves
ALBACETE,2024-12-23,,,,,,"1,319",,,,,,AVANZA OIL,Lunes
ALBACETE,2024-12-23,"1,489",,,,,"1,429",,,,,,VALERO 24H,Lunes
